name,iso_country,municipality,iata_code,,,,
Corn Island,NI,Corn Island,RNI,,,,
Roanne-Renaison Airport,FR,Roanne/Renaison,RNE,,,,
Randolph Air Force Base,US,Universal City,RND,,,,
Warren County Memorial Airport,US,Mc Minnville,RNC,,,,
Ronneby Airport,SE,,RNB,,,,
Ulawa Airport,SB,Arona,RNA,,,,
Mariposa Yosemite Airport,US,Mariposa,RMY,,,,
RegiÃ³n de Murcia International Airport,ES,Corvera,RMU,,,,
Rimatara Airport,PF,Rimatara Island,RMT,,,,
Ramstein Air Base,DE,Ramstein,RMS,,,,
Taichung Ching Chuang Kang Airport,TW,Taichung City,RMQ,,,,
Rampart Airport,US,Rampart,RMP,,,,
Rumginae Airport,PG,,RMN,,,,
Colombo Ratmalana Airport,LK,Colombo,RML,,,,
Renmark Airport,AU,,RMK,,,,
Federico Fellini International Airport,IT,Rimini,RMI,,,,
Richard B Russell Airport,US,Rome,RMG,,,,
Marsa Alam International Airport,EG,Marsa Alam,RMF,,,,
Griffiss International Airport,US,Rome,RME,,,,
Basanth Nagar Airport,IN,Ramagundam,RMD,,,,
Buraimi Airport,OM,Buraimi,RMB,,,,
Roma Airport,AU,Roma,RMA,,,,
Arlit Airport,NE,Arlit,RLT,,,,
Rosella Plains Airport,AU,Rosella Plains,RLP,,,,
Valle Del Conlara International Airport,AR,Merlo,RLO,,,,
Bayannur Tianjitai Airport,CN,Bavannur,RLK,,,,
Rostock-Laage Airport,DE,Rostock,RLG,,,,
Rolla Downtown Airport,US,Rolla,RLA,,,,
Shigatse Air Base,CN,XigazÃª,RKZ,,,,
Rokeby Airport,AU,Rokeby,RKY,,,,
Rockwood Municipal Airport,US,Rockwood,RKW,,,,
Reykjavik Airport,IS,Reykjavik,RKV,,,,
Kairuku Airport,PG,Yule Island,RKU,,,,
Uljin Airport,KR,Bongsan-ri,RKTL,,,,
Ras Al Khaimah International Airport,AE,Ras Al Khaimah,RKT,,,,
H 264 Heliport,KR,Yongsan,RKSY,,,,
Bukpo-ri Heliport,KR,Bukpo-ri,RKSP,,,,
Paengnyongdo Beach Airfield (Sagot Beach Airfield) (K-53),KR,Sagot-ro,RKSE,,,,
Southwest Wyoming Regional Airport,US,Rock Springs,RKS,,,,
Aransas County Airport,US,Rockport,RKP,,,,
Rokot Airport,ID,Sipora Island,RKO,,,,
Kosipe Airport,PG,Kosipe Mission,KSP,,,,
Sokcho (Mulchi Airfield) (G-407/K-50) Airport,KR,Jangsan-ri,RKND,,,,
Rokot Airport,ID,Rokot-Sumatra Island,RKI,,,,
Rock Hill - York County Airport,US,Rock Hill,RKH,,,,
Copenhagen Roskilde Airport,DK,Copenhagen,RKE,,,,
Knox County Regional Airport,US,Rockland,RKD,,,,
N 102 Helipad,KR,Hagwangjeong-ri,RKC9,,,,
C 194 Heliport,KR,Hyoseong-dong,RKB1,,,,
C 193 Heliport,KR,Oebalsan-dong,RKA9,,,,
N 231 Helipad,KR,Boreumdo-ri,RKA5,,,,
N 219 Helipad,KR,Jangguneomeo,RKA2,,,,
Aratika Nord Airport,PF,,RKA,,,,
N 217 Helipad,KR,Seogeom-ri,RK9Z,,,,
C 145 Heliport,KR,Suin-ro,RK6V,,,,
C 424 Heliport,KR,Dangu-ro,RK3S,,,,
C-408 Heliport,KR,Gan-ri,RK3O,,,,
C 327 Heliport,KR,ROK 5th Division,RK3J,,,,
C 271 Heliport,KR,Geoyeo-dong,RK3A,,,,
C 184 Heliport,KR,Boreumdo-ri,RK2D,,,,
G 313 Airport,KR,Sinpung,RK22,,,,
G 413 Airport,KR,Gyochon,RK21,,,,
C 143 Heliport,KR,Beoman-ro,RK1Q,,,,
G 312 Airport,KR,Sanae-ro,RK16,,,,
Tokyo Haneda International Airport,JP,Ota,RJTT,,,,
Tokyo Heliport,JP,Edogawa,RJTI,,,,
Rafsanjan Airport,IR,,RJN,,,,
Marinda Airport,ID,Waisai,RJM,,,,
LogroÃ±o-Agoncillo Airport,ES,LogroÃ±o,RJL,,,,
Rijeka Airport,HR,Rijeka,RJK,,,,
Rajouri Airport,IN,Rajouri,RJI,,,,
Shah Mokhdum Airport,BD,Rajshahi,RJH,,,,
Rajbiraj Airport,NP,Rajbiraj,RJB,,,,
Rajahmundry Airport,IN,Rajahmundry,RJA,,,,
Akasaka Press Center (Hardy Barracks) Heliport,JP,Minato,RJ01,,,,
Rizhao Shanzihe Airport,CN,Rizhao,RIZ,,,,
Riyan Mukalla International Airport,YE,Riyan,RIY,,,,
Riga International Airport,LV,Riga,RIX,,,,
Riverton Regional Airport,US,Riverton,RIW,,,,
March ARB Airport,US,Riverside,RIV,,,,
Rishiri Airport,JP,Rishiri,RIS,,,,
Ringi Cove Airport,SB,Ringi Cove,RIN,,,,
San Nicolas Airport,PE,Rodriguez de Mendoza,RIM,,,,
Garfield County Regional Airport,US,Rifle,RIL,,,,
Thorne Bay Seaplane Base,US,Thorne Bay,KTB,,,,
Juan Simons Vela Airport,PE,Rioja,RIJ,,,,
Scarlett Martinez International Airport,PA,RÃ,RIH,,,,
Katiola Airport,CI,Katiola,KTC,,,,
Rio Grande Airport,BR,Rio Grande,RIG,,,,
Rice Lake Regional Airport - Carl's Field,US,Rice Lake,RIE,,,,
Richmond International Airport,US,Richmond,RIC,,,,
CapitÃ¡n Av. Selin Zeitun Lopez Airport,BO,Riberalta,RIB,,,,
Santa Maria Airport,BR,Santa Maria,RIA,,,,
Reid-Hillview Airport of Santa Clara County,US,San Jose,RHV,,,,
Alxa Right Banner Badanjilin Airport,CN,Badanjilin,RHT,,,,
Ras al Khaimah Al Hamra Seaplane Base,AE,Ras Al Khaimah,RHR,,,,
Ramechhap Airport,NP,Ramechhap,RHP,,,,
Diagoras Airport,GR,Rodes Island,RHO,,,,
Skorpion Mine Airport,NA,Rosh Pinah,RHN,,,,
Roy Hill Station Airport,AU,,RHL,,,,
Rhinelander Oneida County Airport,US,Rhinelander,RHI,,,,
Ruhengeri Airport,RW,Ruhengeri,RHG,,,,
Reims-Champagne (BA 112) Air Base,FR,Reims/Champagne,RHE,,,,
Kunua Airport,PG,Kunua,KTK,,,,
Kennett Memorial Airport,US,Kennett,KNT,,,,
Termas de RÃ,AR,Termas de RÃ,RHD,,,,
ReykhÃ³lar Airport,IS,ReykhÃ³lar,RHA,,,,
Japura Airport,ID,Rengat-Sumatra Island,RGT,,,,
Burgos Airport,ES,Burgos,RGS,,,,
Ranger Municipal Airport,US,Ranger,RGR,,,,
Orang Airport,KP,Hoemun-ri,RGO,,,,
Yangon International Airport,MM,Yangon,RGN,,,,
Piloto Civil N. FernÃ¡ndez Airport,AR,Rio Gallegos,RGL,,,,
Gorno-Altaysk Airport,RU,Gorno-Altaysk,RGK,,,,
Rangiroa Airport,PF,,RGI,,,,
Balurghat Airport,IN,Balurghat,RGH,,,,
Porgera Airport,PG,Porgera,RGE,,,,
Hermes Quijada International Airport,AR,Rio Grande,RGA,,,,
Rosita Airport,NI,La Rosita,RFS,,,,
Rio Frio / Progreso Airport,CR,Rio Frio / Progreso,RFR,,,,
Raiatea Airport,PF,Uturoa,RFP,,,,
RaufarhÃ¶fn Airport,IS,RaufarhÃ¶fn,RFN,,,,
Rooke Field,US,Refugio,RFG,,,,
Chicago Rockford International Airport,US,Chicago/Rockford,RFD,,,,
RafaÃ¯ Airport,CF,RafaÃ¯,RFA,,,,
Resende Airport,BR,Resende,REZ,,,,
Reyes Airport,BO,Reyes,REY,,,,
General Lucio Blanco International Airport,MX,Reynosa,REX,,,,
Reus Air Base,ES,Reus,REU,,,,
RÃ¸st Airport,NO,,RET,,,,
Resistencia International Airport,AR,Resistencia,RES,,,,
Retalhuleu Airport,GT,Retalhuleu,RER,,,,
Reko Diq Airport,PK,Chagai,REQ,,,,
Siem Reap International Airport,KH,Siem Reap,REP,,,,
Rome State Airport,US,Rome,REO,,,,
Orenburg Central Airport,RU,Orenburg,REN,,,,
Almirante Marco Andres Zar Airport,AR,Rawson,REL,,,,
Regina Airport,GF,Regina,REI,,,,
Vicksburg Tallulah Regional Airport,US,Tallulah/Vicksburg,KTVR,,,,
Rehoboth Airport,US,Rehoboth Beach,REH,,,,
Reggio Calabria Airport,IT,Reggio Calabria,REG,,,,
Reese Airpark,US,Lubbock,REE,,,,
Mifflin County Airport,US,Reedsville,RED,,,,
Guararapes - Gilberto Freyre International Airport,BR,Recife,REC,,,,
Rechlin-LÃ¤rz Airport,DE,LÃ¤rz,REB,,,,
Reao Airport,PF,,REA,,,,
Rodez-Marcillac Airport,FR,Rodez/Marcillac,RDZ,,,,
Red Devil Airport,US,Red Devil,RDV,,,,
Cascade Airport,US,Cascade,ICS,,,,
Raleigh Durham International Airport,US,Raleigh/Durham,RDU,,,,
Richard Toll Airport,SN,Richard Toll,RDT,,,,
Rincon De Los Sauces Airport,AR,Rincon de los Sauces,RDS,,,,
Grand Forks Air Force Base,US,Grand Forks,RDR,,,,
Kazi Nazrul Islam Airport,IN,Durgapur,RDP,,,,
Radom Airport,PL,Radom,RDO,,,,
LTS Pulau Redang Airport,MY,Redang,RDN,,,,
Roberts Field,US,Redmond,RDM,,,,
Wilkes County Airport,US,North Wilkesboro,IKB,,,,
Reading Regional Carl A Spaatz Field,US,Reading,RDG,,,,
Merdei Airport,ID,Merdei-Papua Island,RDE,,,,
Redding Municipal Airport,US,Redding,RDD,,,,
RedenÃ§Ã£o Airport,BR,RedenÃ§Ã£o,RDC,,,,
Red Dog Airport,US,Red Dog,RDB,,,,
Rockhampton Downs Airport,AU,Rockhampton Downs,RDA,,,,
Rum Cay Airport,BS,,RCY,,,,
Area De Material Airport,AR,Rio Cuarto,RCU,,,,
Kupiano Airport,PG,Kupiano,KUP,,,,
Nartron Field,US,Reed City,RCT,,,,
Huntsville Regional Airport,US,Huntsville,HTV,,,,
Rochester Airport,GB,Rochester,RCS,,,,
Fulton County Airport,US,Rochester,RCR,,,,
Kuyol Airport,PG,,KUX,,,,
Reconquista Airport,AR,Reconquista,RCQ,,,,
Rochefort-Saint-Agnant (BA 721) Airport,FR,Rochefort/Saint-Agnant,RCO,,,,
South Jersey Regional Airport,US,Mount Holly,LLY,,,,
American River Airport,AU,American River,RCN,,,,
Richmond Airport,AU,,RCM,,,,
Redcliffe Airport,VU,Redcliffe,RCL,,,,
H H Coffield Regional Airport,US,Rockdale,RCK,,,,
Kitava Airport,PG,Kitava Island,KVE,,,,
Almirante Padilla Airport,CO,Riohacha,RCH,,,,
Roche Harbor Airport,US,Roche Harbor,RCE,,,,
Richards Bay Airport,ZA,Richards Bay,RCB,,,,
Ellsworth Air Force Base,US,Rapid City,RCA,,,,
Ruby Airport,US,Ruby,RBY,,,,
Rumbek Airport,SS,Rumbek,RBX,,,,
Lowcountry Regional Airport,US,Walterboro,RBW,,,,
Ramata Airport,SB,Ramata,RBV,,,,
Roebourne Airport,AU,Roebourne,RBU,,,,
Marsabit Airport,KE,Marsabit,RBT,,,,
Orbost Airport,AU,,RBS,,,,
PlÃ¡cido de Castro Airport,BR,Rio Branco,RBR,,,,
Rurenabaque Airport,BO,Rurenabaque,RBQ,,,,
Raba Raba Airport,PG,Rabaraba,RBP,,,,
RoborÃ© Airport,BO,RoborÃ©,RBO,,,,
Straubing Airport,DE,Straubing,RBM,,,,
Red Bluff Municipal Airport,US,Red Bluff,RBL,,,,
French Valley Airport,US,Murrieta/Temecula,RBK,,,,
Rebun Airport,JP,Rebun,RBJ,,,,
Gettysburg Regional Airport,US,Gettysburg,GTY,,,,
Rabi Island Airport,FJ,Rabi Island,RBI,,,,
Roseburg Regional Airport,US,Roseburg,RBG,,,,
Big Bear City Airport,US,Big Bear,RBF,,,,
Ratanakiri Airport,KH,Ratanakiri,RBE,,,,
Dallas Executive Airport,US,Dallas,RBD,,,,
Robinvale Airport,AU,,RBC,,,,
Borba Airport,BR,Borba,RBB,,,,
Waterfall Seaplane Base,US,Waterfall,KWF,,,,
Rabat-SalÃ© Airport,MA,Rabat,RBA,,,,
Rawalakot Airport,PK,Rawalakot,RAZ,,,,
Oram Airport,PG,,RAX,,,,
Arawa Airport,PG,Arawa,RAW,,,,
Cravo Norte Airport,CO,Cravo Norte,RAV,,,,
West Point Village Seaplane Base,US,West Point,KWP,,,,
Raduzhny Airport,RU,Raduzhnyi,RAT,,,,
Sardar-e-Jangal Airport,IR,Rasht,RAS,,,,
Rarotonga International Airport,CK,Avarua,RAR,,,,
Sugimanuru Airport,ID,Raha-Muna Island,RAQ,,,,
Rapid City Regional Airport,US,Rapid City,RAP,,,,
Kurwina Airport,PG,Kurwina,KWV,,,,
Leite Lopes Airport,BR,RibeirÃ£o Preto,RAO,,,,
Ravenna Airport,IT,Ravenna,RAN,,,,
Ramingining Airport,AU,,RAM,,,,
Riverside Municipal Airport,US,Riverside,RAL,,,,
Kiwai Airport,PG,Kiwai Island,KWX,,,,
Kiwayu Airport,KE,Kiwayu,KWY,,,,
Menara Airport,MA,Marrakech,RAK,,,,
Tampa North Aero Park Airport,US,Tampa,KYO,,,,
Kasaan Seaplane Base,US,Kasaan,KXA,,,,
Rajkot Airport,IN,Rajkot,RAJ,,,,
Praia International Airport,CV,Praia,RAI,,,,
Rafha Domestic Airport,SA,Rafha,RAH,,,,
Raglan Airfield,NZ,,RAG,,,,
Rafaela Airport,AR,Rafaela,RAF,,,,
Port Largo Airport,US,Key Largo,KYL,,,,
Arar Domestic Airport,SA,Arar,RAE,,,,
John H Batten Airport,US,Racine,RAC,,,,
Tokua Airport,PG,Tokua,RAB,,,,
Rakanda Airport,PG,Rakanda,RAA,,,,
Oksywie Military Air Base,PL,Gdynia,QYD,,,,
Zachar Bay Seaplane Base,US,Zachar Bay,KZB,,,,
Kaintiba Airport,PG,Kaintiba,KZF,,,,
Wilgrove Air Park,US,Charlotte,QWG,,,,
Volta Redonda Airport,BR,Volta Redonda,QVR,,,,
Layang-Layang Airport,MY,Spratley Islands,LAC,,,,
RAF Wyton,GB,St. Ives,QUY,,,,
Akwa Ibom International Airport,NG,Uyo,QUO,,,,
Gorna Oryahovitsa Airport,BG,Gorna Oryahovitsa,GOZ,,,,
Palm Beach Seaplane Base,AU,Sydney,LBH,,,,
Luabo Airport,MZ,Luabo,LBM,,,,
Camp Page Airport (A-306),KR,Chun Chon City,QUN,,,,
Goodwood Aerodrome,GB,Chichester,QUG,,,,
Ubari Airport,LY,Ubari,QUB,,,,
Yeerqiang Airport,CN,Shache,QSZ,,,,
New Amsterdam Airport,GY,New Amsterdam,QSX,,,,
Salerno Costa d'Amalfi Airport,IT,Salerno,QSR,,,,
San Nicolas De Bari Airport,CU,San NicolÃ¡s,QSN,,,,
Ercan International Airport,CY,Nicosia,ECN,,,,
Larnaca International Airport,CY,Larnarca,LCA,,,,
Loncopue Airport,AR,Loncopue,LCP,,,,
Moshi Airport,TZ,Moshi,QSI,,,,
Ain Arnat Airport,DZ,SÃ©tif,QSF,,,,
MÃ¡rio Pereira Lopesâ€“SÃ£o Carlos Airport,BR,SÃ£o Carlos,QSC,,,,
LoÅ¡inj Island Airport,HR,LoÅ¡inj,LSZ,,,,
Sabadell Airport,ES,Sabadell,QSA,,,,
Ikerassaarsuk Heliport,GL,Ikerassaarsuk,QRY,,,,
Warri Airport,NG,Warri,QRW,,,,
Rieti Airport,IT,Rieti,QRT,,,,
Warren Airport,AU,,QRR,,,,
Lansdowne Airport,AU,Lansdowne Station,LDW,,,,
QuerÃ©taro Intercontinental Airport,MX,QuerÃ©taro,QRO,,,,
Narromine Airport,AU,,QRM,,,,
Bragado Airport,AR,Bragado,QRF,,,,
De La Independencia Airport,CL,Rancagua,QRC,,,,
AlmerÃ,ES,AlmerÃ,LEI,,,,
Rand Airport,ZA,Johannesburg,QRA,,,,
Qeqertaq Heliport,GL,Qeqertaq,QQT,,,,
Kangaatsiaq Heliport,GL,Kangaatsiaq,QPW,,,,
Campo Fontenelle Airport,BR,Pirassununga,QPS,,,,
Palapye Airport,BW,Palapye,QPH,,,,
Paya Lebar Air Base,SG,,QPG,,,,
Pinar Del Rio Airport,CU,Pinar del Rio,QPD,,,,
A CoruÃ±a Airport,ES,Culleredo,LCG,,,,
Cuatro Vientos Airport,ES,Madrid,ECV,,,,
Lleida-Alguaire Airport,ES,Lleida,ILD,,,,
Girona Airport,ES,Girona,GRO,,,,
Federico Garcia Lorca Airport,ES,Granada,GRX,,,,
Huesca/Pirineos Airport,ES,Monflorite/AlcalÃ¡ del Obispo,HSK,,,,
Ibiza Airport,ES,Ibiza,IBZ,,,,
Padova Airport,IT,Padova,QPA,,,,
San Javier Airport,ES,San Javier,MJV,,,,
Sam Mbakwe International Airport,NG,Owerri,QOW,,,,
Leon Airport,ES,LeÃ³n,LEN,,,,
Saarloq Heliport,GL,,QOQ,,,,
Adolfo SuÃ¡rez Madridâ€“Barajas Airport,ES,Madrid,MAD,,,,
Mococa Airport,BR,Mococa,QOA,,,,
Menorca Airport,ES,Menorca Island,MAH,,,,
New York Skyports Inc Seaplane Base,US,New York,QNY,,,,
Lekoni Airport,GA,Lekoni,LEO,,,,
Aeroclube Airport,BR,Nova IguaÃ§u,QNV,,,,
Annemasse Airport,FR,Annemasse,QNJ,,,,
Cenej Airport,RS,Novi Sad,QND,,,,
Neuchatel Airport,CH,,QNC,,,,
Oum el Bouaghi airport,DZ,Oum El Bouaghi,QMH,,,,
Mafra Airport,BR,Mafra,QMF,,,,
San Sebastian Airport,ES,Hondarribia,EAS,,,,
Latina Air Base,IT,Latina,QLT,,,,
Pirineus - la Seu d'Urgel Airport,ES,La Seu d'Urgell Pyrenees and Andorra,LEU,,,,
Monte Real Air Base,PT,,QLR,,,,
Sarzana-Luni Air Base,IT,Sarzana (SP),QLP,,,,
Lahti Vesivehmaa Airport,FI,,QLF,,,,
Blida Airport,DZ,,QLD,,,,
Kautokeino Air Base,NO,,QKX,,,,
Pocheon G 217 Airport,KR,Pocheon,QJP,,,,
Ikamiut Heliport,GL,Ikamiut,QJI,,,,
Kitsissuarsuit Heliport,GL,Kitsissuarsuit,QJE,,,,
Jindabyne Airport,AU,,QJD,,,,
Jubail Airport,SA,Jubail,QJB,,,,
Itapetinga Airport,BR,Itapetinga,QIT,,,,
Rio Claro Airport,BR,Rio Claro,QIQ,,,,
Le Touquet-CÃ´te d'Opale Airport,FR,Le Touquet-Paris-Plage,LTQ,,,,
Iguatu Airport,BR,Iguatu,QIG,,,,
MÃ©lio Viana Airport,BR,TrÃªs CoraÃ§Ãµes,QID,,,,
Novo Hamburgo Airport,BR,Novo Hamburgo,QHV,,,,
Bergerac-RoumaniÃ¨re Airport,FR,Bergerac/RoumaniÃ¨re,EGC,,,,
Husum-Schwesing Airport,DE,Husum,QHU,,,,
La Rochelle-ÃŽle de RÃ© Airport,FR,La Rochelle/ÃŽle de RÃ©,LRH,,,,
Harar Meda Airport,ET,Debre Zeyit,QHR,,,,
MontluÃ§on-GuÃ©ret Airport,FR,MontluÃ§on/GuÃ©ret,MCU,,,,
Limoges Airport,FR,Limoges/Bellegarde,LIG,,,,
Base de AviaÃ§Ã£o de TaubatÃ© Airport,BR,TaubatÃ©,QHP,,,,
Taguatinga Airport,BR,Taguatinga,QHN,,,,
Piracicaba Airport,BR,Piracicaba,QHB,,,,
Tarbes-Lourdes-PyrÃ©nÃ©es Airport,FR,Tarbes/Lourdes/PyrÃ©nÃ©es,LDE,,,,
Gifu Airport,JP,Gifu,QGU,,,,
Attu Heliport,GL,Attu,QGQ,,,,
Garanhuns Airport,BR,Garanhuns,QGP,,,,
Montenegro Airport,BR,Montenegro,QGF,,,,
LenÃ§Ã³is Paulista Airport,BR,LenÃ§Ã³is Paulista,QGC,,,,
Albi-Le SÃ©questre Airport,FR,Albi/Le SÃ©questre,LBI,,,,
Limeira Airport,BR,Limeira,QGB,,,,
GuaÃ,BR,GuaÃ,QGA,,,,
Igaliku Heliport,GL,Igaliku,QFX,,,,
Iginniarfik,GL,Iginniarfik,QFI,,,,
ÃŽle d'Yeu Airport,FR,ÃŽle d'Yeu,IDY,,,,
Eqalugaarsuit Heliport,GL,Eqalugaarsuit,QFG,,,,
Bielsko-Bialo Kaniow Airfield,PL,Czechowice-Dziedzice,QEO,,,,
MegÃ¨ve Altiport,FR,MegÃ¨ve,MVV,,,,
Taean Airport,KR,Taean,QDY,,,,
Le Puy-Loudes Airport,FR,Le Puy/Loudes,LPY,,,,
Tsletsi Airport,DZ,Djelfa,QDJ,,,,
Metz-Nancy-Lorraine Airport,FR,Metz / Nancy,ETZ,,,,
Dracena Airport,BR,Dracena,QDC,,,,
Cachoeira do Sul Airport,BR,Cachoeira Do Sul,QDB,,,,
RAF Coningsby,GB,Coningsby,QCY,,,,
Figari Sud-Corse Airport,FR,Figari Sud-Corse,FSC,,,,
Akunaq Heliport,GL,,QCU,,,,
Curitibanos Airport,BR,Curitibanos,QCR,,,,
Currais Novos Airport,BR,Currais Novos,QCP,,,,
MÃ©ribel Altiport,FR,,MFX,,,,
ColÃ³n Airport,CU,ColÃ³n,QCO,,,,
Canela Airport,BR,Canela,QCN,,,,
Botucatu - Tancredo de Almeida Neves Airport,BR,Botucatu,QCJ,,,,
Colatina Airport,BR,Colatina,QCH,,,,
Bella Coola Airport,CA,Bella Coola,QBC,,,,
L'Aquilaâ€“Preturo Airport,IT,L'Aquila,QAQ,,,,
Lyon Saint-ExupÃ©ry Airport,FR,Lyon,LYS,,,,
Castro Airport,BR,Castro,QAC,,,,
PieÅ¡Å¥any Airport,SK,PieÅ¡Å¥any,PZY,,,,
Port Sudan New International Airport,SD,Port Sudan,PZU,,,,
Grenoble-IsÃ¨re Airport,FR,Saint-Ã‰tienne-de-Saint-Geoirs,GNB,,,,
Maquehue Airport,CL,Temuco,PZS,,,,
General Manuel Carlos Piar International Airport,VE,Puerto Ordaz-Ciudad Guayana,PZO,,,,
Zulu Inyala Airport,ZA,Phinda,PZL,,,,
Pukapuka Island Airport,CK,Pukapuka Atoll,PZK,,,,
Lyon-Bron Airport,FR,Lyon/Bron,LYN,,,,
Bao'anying Airport,CN,Panzhihua,PZI,,,,
Saint-Ã‰tienne-BouthÃ©on Airport,FR,Saint-Ã‰tienne/BouthÃ©on,EBU,,,,
Zhob Airport,PK,Fort Sandeman,PZH,,,,
Marseille Provence Airport,FR,Marseille,MRS,,,,
Penzance Heliport,GB,Penzance,PZE,,,,
Pietermaritzburg Airport,ZA,Pietermaritzburg,PZB,,,,
Paz De Ariporo Airport,CO,Paz De Ariporo,PZA,,,,
Mae Hong Son Airport,TH,Mae Hong Son,PYY,,,,
Pattaya Airpark,TH,Pattaya,PYX,,,,
Montpellier-MÃ©diterranÃ©e Airport,FR,Montpellier/MÃ©diterranÃ©e,MPL,,,,
Yaviza Airport,PA,Yaviza,PYV,,,,
Andravida Air Base,GR,Andravida,PYR,,,,
Gap - Tallard Airfield,FR,,GAT,,,,
Mende-Brenoux Airfield,FR,Mende/BrÃ©noux,MEN,,,,
Putumayo Airport,EC,Puerto Putumayo,PYO,,,,
Plymouth Municipal Airport,US,Plymouth,PYM,,,,
Ã‰vreux-Fauville (BA 105) Air Base,FR,Ã‰vreux/Fauville,EVX,,,,
Le Havre Octeville Airport,FR,Le Havre/Octeville,LEH,,,,
Perry Island Seaplane Base,US,Perry Island,PYL,,,,
Payam International Airport,IR,Karaj,PYK,,,,
Les Sables-d'Olonne Talmont Airport,FR,Les Sables-d'Olonne,LSO,,,,
Polyarny Airport,RU,Yakutia,PYJ,,,,
Cacique Aramare Airport,VE,Puerto Ayacucho,PYH,,,,
Tongareva Airport,CK,Penrhyn Island,PYE,,,,
Laval-Entrammes Airport,FR,Laval/Entrammes,LVA,,,,
Paris-Le Bourget Airport,FR,Paris,LBG,,,,
PlayÃ³n Chico Airport,PA,PlayÃ³n Chico,PYC,,,,
Jeypore Airport,IN,Jeypore,PYB,,,,
Paris Issy-les-Moulineaux Heliport,FR,Issy-les-Moulineaux,JDP,,,,
VelÃ¡squez Airport,CO,Puerto BoyacÃ¡,PYA,,,,
Pleiku Airport,VN,Pleiku,PXU,,,,
Surin Airport,TH,Surin,PXR,,,,
Porto Santo Airport,PT,Vila Baleira,PXO,,,,
Puerto Escondido International Airport,MX,Puerto Escondido,PXM,,,,
Polacca Airport,US,Polacca,PXL,,,,
Lille-Lesquin Airport,FR,Lille/Lesquin,LIL,,,,
Merville-Calonne Airport,FR,Merville/Calonne,HZB,,,,
Prominent Hill Airport,AU,OZ Minerals Prominent Hill Mine,PXH,,,,
Bentayan Airport,ID,Bentayan-Sumatra Island,PXA,,,,
Ralph Wenz Field,US,Pinedale,PWY,,,,
Bremerton National Airport,US,Bremerton,PWT,,,,
La Baule-Escoublac Airport,FR,La Baule-Escoublac,LBY,,,,
Granville Airport,FR,Granville,GFR,,,,
Port Walter Seaplane Base,US,Port Walter,PWR,,,,
Lorient South Brittany (Bretagne Sud) Airport,FR,Lorient/Lann/BihouÃ©,LRT,,,,
La Roche-sur-Yon Airport,FR,La Roche-sur-Yon/Les Ajoncs,EDM,,,,
Landivisiau Air Base,FR,Landivisiau,LDV,,,,
Pavlodar Airport,KZ,Pavlodar,PWQ,,,,
Le Mans-Arnage Airport,FR,Le Mans/Arnage,LME,,,,
Pweto Airport,CD,Pweto,PWO,,,,
Lannion-CÃ´te de Granit Airport,FR,Lannion,LAI,,,,
Pitts Town Airport,BS,Pitts Town,PWN,,,,
Portland International Jetport,US,Portland,PWM,,,,
Purwokerto Airport,ID,Purwokerto-Java Island,PWL,,,,
Morlaix-Ploujean Airport,FR,Morlaix/Ploujean,MXN,,,,
Chicago Executive Airport,US,Chicago/Prospect Heights/Wheeling,PWK,,,,
Beles Airport,ET,Pawe,PWI,,,,
Pevek Airport,RU,Pevek,PWE,,,,
Sher-Wood Airport,US,Plentywood,PWD,,,,
Wiley Post Airport,US,Oklahoma City,PWA,,,,
Ã‰pinal-Mirecourt Airport,FR,Ã‰pinal/Mirecourt,EPL,,,,
Casement Airport,US,Plainesville,PVZ,,,,
Nancy-Essey Airport,FR,Nancy/Essey,ENC,,,,
Hale County Airport,US,Plainview,PVW,,,,
Provo Municipal Airport,US,Provo,PVU,,,,
Provideniya Bay Airport,RU,Chukotka,PVS,,,,
Licenciado Gustavo DÃ,MX,Puerto Vallarta,PVR,,,,
FrÃ©jus Airport,FR,FrÃ©jus,FRJ,,,,
NÃ®mes-Arles-Camargue Airport,FR,NÃ®mes/Garons,FNI,,,,
La MÃ´le Airport,FR,La MÃ´le,LTT,,,,
Miquelon Airport,PM,Miquelon,MQC,,,,
St Pierre Airport,PM,Saint-Pierre,FSP,,,,
Reales Tamarindos Airport,EC,Portoviejo,PVO,,,,
Pike County-Hatcher Field,US,Pikeville,PVL,,,,
Aktion National Airport,GR,Preveza/Lefkada,PVK,,,,
Athen Helenikon Airport,GR,Athens,HEW,,,,
ParanavaÃ,BR,ParanavaÃ,PVI,,,,
Governador Jorge Teixeira de Oliveira Airport,BR,Porto Velho,PVH,,,,
Mulan Airport,AU,Lake Gregory,LGE,,,,
Chios Island National Airport,GR,Chios Island,JKH,,,,
Shanghai Pudong International Airport,CN,Shanghai,PVG,,,,
Ikaria Airport,GR,Ikaria Island,JIK,,,,
Ioannina Airport,GR,Ioannina,IOA,,,,
Heraklion International Nikos Kazantzakis Airport,GR,Heraklion,HER,,,,
Kastoria National Airport,GR,Kastoria,KSO,,,,
Kithira Airport,GR,Kithira Island,KIT,,,,
Kefallinia Airport,GR,Kefallinia Island,EFL,,,,
Kastelorizo Airport,GR,Kastelorizo Island,KZS,,,,
Kalamata Airport,GR,Kalamata,KLX,,,,
Kos Airport,GR,Kos Island,KGS,,,,
Placerville Airport,US,Placerville,PVF,,,,
El Porvenir Airport,PA,El Porvenir,PVE,,,,
Kasos Airport,GR,Kasos Island,KSJ,,,,
